Detector,Descriptor,mean Keypts matched,max Keypts matched,mean Total time [ms],max Total time [ms]
FAST,BRIEF,122,131,3.358278,5.14507
FAST,BRISK,100,107,3.393563,3.85752
FAST,ORB,119,126,3.52534,4.679
ORB,BRISK,83,92,11.18658,14.1649
ORB,BRIEF,61,84,14.39603,16.5125
SHITOMASI,BRISK,85,95,15.21358,19.7598
SHITOMASI,ORB,101,106,21.75232,25.5241
SHITOMASI,BRIEF,105,115,21.90699,23.8182
HARRIS,BRISK,16,23,21.98416,31.6915
ORB,ORB,85,101,22.36334,29.3141
HARRIS,BRIEF,19,26,29.04345,43.1612
HARRIS,ORB,18,24,32.46312,44.3411
FAST,SIFT,116,123,36.36627,44.6861
BRISK,BRIEF,189,207,42.81711,45.309
FAST,FREAK,98,105,44.37788,47.7082
BRISK,BRISK,174,188,44.92734,51.423
BRISK,ORB,168,182,46.53465,47.3781
SHITOMASI,SIFT,103,112,48.94252,56.8664
ORB,FREAK,47,56,55.30661,59.8775
HARRIS,SIFT,18,24,62.03357,75.6174
SHITOMASI,FREAK,85,90,64.69621,70.4693
HARRIS,FREAK,16,21,65.30347,72.2558
ORB,SIFT,85,95,68.52928,77.0041
BRISK,FREAK,169,183,86.47946,92.9989
BRISK,SIFT,183,195,90.9706,96.6632
SIFT,BRIEF,78,88,131.7128,146.589
SIFT,BRISK,66,80,135.0766,146.17
AKAZE,AKAZE,140,151,141.9462,157.034
SIFT,FREAK,66,79,168.8824,175.745
SIFT,SIFT,89,104,189.3994,202.905
